model,mode,val_acc,val_f1,test_acc,test_f1,test_balanced_acc,gen_gap_f1,gen_gap_acc,future_retention_pct,trainable_params,best_epoch,train_minutes
densenet121,full,93.02,93.03,47.17,44.49,47.17,48.54,45.84,47.8,6957956,14,20.8
densenet121,partial,74.67,73.97,36.58,35.99,36.58,37.98,38.1,48.7,4100,11,8.9
dinov2,full,85.88,85.58,39.27,37.92,39.27,47.66,46.6,44.3,21630340,15,15.6
dinov2,partial,82.66,82.31,50.88,47.86,50.88,34.45,31.78,58.1,1540,6,4.8
efficientnet_b0,full,92.4,92.25,48.0,45.25,48.0,47.0,44.4,49.0,4012672,11,9.7
efficientnet_b0,partial,78.97,78.81,37.38,34.44,37.38,44.37,41.6,43.7,5124,13,5.9
resnet50,full,92.63,92.46,47.35,45.12,47.35,47.35,45.28,48.8,23516228,11,12.7
resnet50,partial,81.43,81.34,39.95,39.25,39.95,42.09,41.48,48.3,8196,13,6.2
