model,mode,val_acc,val_f1,test_acc,test_f1,test_balanced_acc,gen_gap_f1,retention_pct
resnet50,full,92.63,92.46,47.38,45.16,47.38,47.308,48.84
resnet50,partial,81.35,81.27,39.92,39.23,39.92,42.043,48.27
densenet121,full,93.02,93.03,47.17,44.49,47.17,48.542,47.82
densenet121,partial,74.67,73.97,36.58,35.99,36.58,37.975,48.66
efficientnet_b0,full,92.33,92.17,48.0,45.25,48.0,46.921,49.09
efficientnet_b0,partial,78.97,78.81,37.35,34.42,37.35,44.387,43.68
dinov2,full,85.88,85.58,39.27,37.92,39.27,47.66,44.31
dinov2,partial,82.66,82.31,50.88,47.86,50.88,34.452,58.14
